Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Guruprasad R.B., Saurav K., Randhawa S.","55822553000;57190383932;57194654122;","Machine learning methodologies for paddy yield estimation in India: A case study",2019,"International Geoscience and Remote Sensing Symposium (IGARSS)","2019-January",,"8900339","7254","7257",,8,"10.1109/IGARSS.2019.8900339","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092151456&doi=10.1109%2fIGARSS.2019.8900339&partnerID=40&md5=62608753cfb112d846ea64825c94df26","IBM Research Labs","Guruprasad, R.B., IBM Research Labs; Saurav, K., IBM Research Labs; Randhawa, S., IBM Research Labs","In-season crop yield estimation has various applications such as the farmer taking corrective measures to increase the yield, optimizing the supply-demand chain of fertilizers, pesticides and agricultural commodities, price prediction and determining the risk levels in agriculture insurance. Crop yield estimation models based on remote sensed satellite data and weather data have been widely adopted as do not require specific information about the crop and farming practices and hence are scalable across crops, growing locations and conditions. In this paper, we present a case study of weather and soil data based yield estimation modeling for paddy crop at different spatial resolution (SR) levels, namely, at the district (coarser SR) and taluk (finer SR) levels in India. We provide a detailed analysis of accuracy of the yield estimation models across varied sets of features and different machine learning (ML) techniques. Further, we perform dis-aggregation of district yield data by applying the machine learning models trained using district level data to predict yields at taluk level. Taluk level yield prediction by dis-aggregation of district level data has average error of 6% and maximum error of 25%. © 2019 IEEE.",,"Agricultural robots; Crops; Forecasting; Machine learning; Remote sensing; Risk assessment; Agricultural commodities; Agriculture insurances; Corrective measures; Farming practices; Machine learning models; Spatial resolution; Specific information; Yield estimation; Risk perception",Conference Paper,"Final","",Scopus,2-s2.0-85092151456
"Das K., Singh J., Hazra J., Kalyanaraman S.","57155755500;57215131079;57189246557;35555804000;","Evaluation of land surface model against SMAP and in-situ observations for Indian region",2018,"International Geoscience and Remote Sensing Symposium (IGARSS)","2018-July",,"8518014","92","95",,5,"10.1109/IGARSS.2018.8518014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063133726&doi=10.1109%2fIGARSS.2018.8518014&partnerID=40&md5=9d6057a56fb9e0da94741b4e4211052d","IBM Research, India","Das, K., IBM Research, India; Singh, J., IBM Research, India; Hazra, J., IBM Research, India; Kalyanaraman, S., IBM Research, India","Soil moisture and temperature are key inputs to several precision agricultural applications such as irrigation scheduling, identifying crop health, pest and disease prediction, yield and acreage estimation, etc. The existing remote sensing satellites based soil moisture products such as SMAP are of coarse resolution and physics based land surface model such as NL-DAS, GLDAS are also of coarse resolution as well as not available for real time applications. Keeping this in focus, we have customized high resolution land data assimilation system (HRLDAS) for India. The customization involve: (1) use of Global Data Assimilation System (GDAS) dataset for dynamic forcing fields, (2) ability to ingest local information about the soil characteristics (3) high resolution USGS land-cover and other static datasets, amongst others. In this paper, we present the performance of the customized model against SMAP soil moisture data and local sensors observations. The first results from the comparison shows a significantly reduced errors in model results. The RMSE for LSM generated outputs are less than 2%, whereas SMAP gives 4-5% error for soil moisture. © 2018 IEEE","Land surface model (LSM); Soil moisture; Soil Moisture Active Passive (SMAP); Soil sensor; Soil temperature",,Conference Paper,"Final","",Scopus,2-s2.0-85063133726
"Singla S.K., Garg R.D., Dubey O.P.","57221793238;15044199700;57318563100;","Sugarcane ratoon discrimination using LANDSAT NDVI temporal data",2018,"Spatial Information Research","26","4",,"415","425",,7,"10.1007/s41324-018-0184-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079502372&doi=10.1007%2fs41324-018-0184-0&partnerID=40&md5=5a0cbb84f1530564ac63dd2ecbf7255e","Geomatics Engineering Group, Department of Civil Engineering, Indian Institute of Technology Roorkee (IIT), Roorkee, Uttarakhand  247667, India","Singla, S.K., Geomatics Engineering Group, Department of Civil Engineering, Indian Institute of Technology Roorkee (IIT), Roorkee, Uttarakhand  247667, India; Garg, R.D., Geomatics Engineering Group, Department of Civil Engineering, Indian Institute of Technology Roorkee (IIT), Roorkee, Uttarakhand  247667, India; Dubey, O.P., Geomatics Engineering Group, Department of Civil Engineering, Indian Institute of Technology Roorkee (IIT), Roorkee, Uttarakhand  247667, India","Pre harvest prediction of sugarcane and sugar production is essential for obtaining the objectives of the national food security mission. Traditional field experimentation results are not reliable and are biased. Improvement in the accuracy and timeliness of crop yield estimation by blending of ancillary data and remotely sensed data in the temporal domain is indispensable. Ratoon sugarcane and planted sugarcane are the two prevalent agricultural practices in India. Ratoon sugarcane crop is suitable both from economic and production consideration. Identification of ratoon sugarcane and monitoring of its growth has been poorly studied. The objective of this study is to extract the information related to the ratoon sugarcane using remote sensing data. The present study proposed NDVIT, an index based on temporal values of NDVI data of Landsat 8 for monitoring and discrimination of ratoon sugarcane. This index has been found to provide 91% accuracy when tested on the ground in the Himalayan foothills region of Uttarakhand. Study indicated that the best period for discrimination of ratoon sugarcane crop is during the first week of April and last week of August to the end of September. This matches with the start of tillering stage and during the period of grand growth stage of the sugarcane. © 2018, Korean Spatial Information Society.","Crop growth monitoring; Crop yield estimation; Discrimination; NDVI; NDVIT; Remote sensing; Temporal data",,Article,"Final","",Scopus,2-s2.0-85079502372
"Thapa R., Gupta S., Gupta A., Reddy D.V., Kaur H.","57192807328;57202975727;55492009500;7203000559;57213128827;","Use of geospatial technology for delineating groundwater potential zones with an emphasis on water-table analysis in Dwarka River basin, Birbhum, India [Utilisation de la technologie géospatiale pour la délimitation des zones aquifères potentiels en mettant l’accent sur l’analyse du niveau piézométrique dans le bassin de la rivière Dwarka, Birbhum, Inde] [Uso de tecnologia geoespacial para delinear zonas potenciais para águas subterrâneas com uma ênfase em análise do lençol freático na bacia do Rio Dwarka, Birbhum, Índia] [Utilización de la tecnología geoespacial para la definición de zonas potenciales de agua subterránea con énfasis en el análisis de los niveles freáticos en la cuenca del río Dwarka, Birbhum, India]",2018,"Hydrogeology Journal","26","3",,"899","922",,45,"10.1007/s10040-017-1683-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036566997&doi=10.1007%2fs10040-017-1683-0&partnerID=40&md5=e8e63c0fbd20beae69b3b20fd065234e","Department of Environmental Science, The University of Burdwan, Burdwan, West Bengal  713104, India; Department of Statistics, The University of Burdwan, Burdwan, West Bengal  713104, India; CSIR-National Geophysical Research Institute, Hyderabad, Telangana  500007, India","Thapa, R., Department of Environmental Science, The University of Burdwan, Burdwan, West Bengal  713104, India; Gupta, S., Department of Environmental Science, The University of Burdwan, Burdwan, West Bengal  713104, India; Gupta, A., Department of Statistics, The University of Burdwan, Burdwan, West Bengal  713104, India; Reddy, D.V., CSIR-National Geophysical Research Institute, Hyderabad, Telangana  500007, India; Kaur, H., Department of Environmental Science, The University of Burdwan, Burdwan, West Bengal  713104, India","Dwarka River basin in Birbhum, West Bengal (India), is an agriculture-dominated area where groundwater plays a crucial role. The basin experiences seasonal water stress conditions with a scarcity of surface water. In the presented study, delineation of groundwater potential zones (GWPZs) is carried out using a geospatial multi-influencing factor technique. Geology, geomorphology, soil type, land use/land cover, rainfall, lineament and fault density, drainage density, slope, and elevation of the study area were considered for the delineation of GWPZs in the study area. About 9.3, 71.9 and 18.8% of the study area falls within good, moderate and poor groundwater potential zones, respectively. The potential groundwater yield data corroborate the outcome of the model, with maximum yield in the older floodplain and minimum yield in the hard-rock terrains in the western and south-western regions. Validation of the GWPZs using the yield of 148 wells shows very high accuracy of the model prediction, i.e., 89.1% on superimposition and 85.1 and 81.3% on success and prediction rates, respectively. Measurement of the seasonal water-table fluctuation with a multiplicative model of time series for predicting the short-term trend of the water table, followed by chi-square analysis between the predicted and observed water-table depth, indicates a trend of falling groundwater levels, with a 5% level of significance and a p-value of 0.233. The rainfall pattern for the last 3 years of the study shows a moderately positive correlation (R2 = 0.308) with the average water-table depth in the study area. © 2017, Springer-Verlag GmbH Germany.","Groundwater monitoring; Groundwater potential zonation; India; Multi-influencing factor (MIF) technique; Remote sensing","drainage; elevation; environmental monitoring; fault; geomorphology; groundwater; land cover; land use; lineament; rainfall; remote sensing; slope; soil type; water table; Birbhum; Dwarka Basin; India; West Bengal",Article,"Final","",Scopus,2-s2.0-85036566997
"Shrivastava S., Kar S.C., Sharma A.R.","57188692102;7202157381;56495928700;","Soil moisture variations in remotely sensed and reanalysis datasets during weak monsoon conditions over central India and central Myanmar",2017,"Theoretical and Applied Climatology","129","1-2",,"305","320",,19,"10.1007/s00704-016-1792-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962239658&doi=10.1007%2fs00704-016-1792-z&partnerID=40&md5=e3d8e2f1f25eff80e93dff34e43e94c6","National Centre for Medium Range Weather Forecasting, A-50, Sector-62, Noida, 201309, India; Teri University, New Delhi, India","Shrivastava, S., National Centre for Medium Range Weather Forecasting, A-50, Sector-62, Noida, 201309, India, Teri University, New Delhi, India; Kar, S.C., National Centre for Medium Range Weather Forecasting, A-50, Sector-62, Noida, 201309, India; Sharma, A.R., Teri University, New Delhi, India","Variation of soil moisture during active and weak phases of summer monsoon JJAS (June, July, August, and September) is very important for sustenance of the crop and subsequent crop yield. As in situ observations of soil moisture are few or not available, researchers use data derived from remote sensing satellites or global reanalysis. This study documents the intercomparison of soil moisture from remotely sensed and reanalyses during dry spells within monsoon seasons in central India and central Myanmar. Soil moisture data from the European Space Agency (ESA)—Climate Change Initiative (CCI) has been treated as observed data and was compared against soil moisture data from the ECMWF reanalysis-Interim (ERA-I) and the climate forecast system reanalysis (CFSR) for the period of 2002–2011. The ESA soil moisture correlates rather well with observed gridded rainfall. The ESA data indicates that soil moisture increases over India from west to east and from north to south during monsoon season. The ERA-I overestimates the soil moisture over India, while the CFSR soil moisture agrees well with the remotely sensed observation (ESA). Over Myanmar, both the reanalysis overestimate soil moisture values and the ERA-I soil moisture does not show much variability from year to year. Day-to-day variations of soil moisture in central India and central Myanmar during weak monsoon conditions indicate that, because of the rainfall deficiency, the observed (ESA) and the CFSR soil moisture values are reduced up to 0.1 m3/m3 compared to climatological values of more than 0.35 m3/m3. This reduction is not seen in the ERA-I data. Therefore, soil moisture from the CFSR is closer to the ESA observed soil moisture than that from the ERA-I during weak phases of monsoon in the study region. © 2016, Springer-Verlag Wien.",,"climate prediction; climatology; data set; monsoon; rainfall; remote sensing; soil moisture; summer; India; Myanmar",Article,"Final","",Scopus,2-s2.0-84962239658
"Jain M., Srivastava A.K., Balwinder-Singh, Joon R.K., McDonald A., Royal K., Lisaius M.C., Lobell D.B.","45561201700;57225783040;35480870000;57194326579;57211004984;57194329779;57194344553;6603095001;","Mapping smallholder wheat yields and sowing dates using micro-satellite data",2016,"Remote Sensing","8","10","860","","",,53,"10.3390/rs8100860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019712461&doi=10.3390%2frs8100860&partnerID=40&md5=dbb63a1f9a238f8380256a45aceaee3e","School of Natural Resources and Environment, University of Michigan, Ann Arbor, MI  48109, United States; Department of Earth System Science, Center on Food Security and the Environment, Stanford University, Stanford, CA  94305, United States; International Maize and Wheat Improvement Center (CIMMYT)-India Office, New Delhi, 110012, India; Department of Environmental Studies, University of California Santa Barbara, Santa Barbara, CA  93106, United States","Jain, M., School of Natural Resources and Environment, University of Michigan, Ann Arbor, MI  48109, United States, Department of Earth System Science, Center on Food Security and the Environment, Stanford University, Stanford, CA  94305, United States; Srivastava, A.K., International Maize and Wheat Improvement Center (CIMMYT)-India Office, New Delhi, 110012, India; Balwinder-Singh, International Maize and Wheat Improvement Center (CIMMYT)-India Office, New Delhi, 110012, India; Joon, R.K., International Maize and Wheat Improvement Center (CIMMYT)-India Office, New Delhi, 110012, India; McDonald, A., International Maize and Wheat Improvement Center (CIMMYT)-India Office, New Delhi, 110012, India; Royal, K., Department of Environmental Studies, University of California Santa Barbara, Santa Barbara, CA  93106, United States; Lisaius, M.C., Department of Earth System Science, Center on Food Security and the Environment, Stanford University, Stanford, CA  94305, United States; Lobell, D.B., Department of Earth System Science, Center on Food Security and the Environment, Stanford University, Stanford, CA  94305, United States","Remote sensing offers a low-cost method for developing spatially continuous crop production statistics across large areas and through time. Nevertheless, it has been difficult to characterize the production of individual smallholder farms, given that the land-holding size in most areas of South Asia (&lt;2 ha) is smaller than the spatial resolution of most freely available satellite imagery, like Landsat and MODIS. In addition, existing methods to map yield require field-level data to develop and parameterize predictive algorithms that translate satellite vegetation indices to yield, yet these data are costly or difficult to obtain in many smallholder systems. To overcome these challenges, this study explores two issues. First, we employ new high spatial (2 m) and temporal (bi-weekly) resolution micro-satellite SkySat data to map sowing dates and yields of smallholder wheat fields in Bihar, India in the 2014-2015 and 2015-2016 growing seasons. Second, we compare how well we predict sowing date and yield when using ground data, like crop cuts and self-reports, versus using crop models, which require no on-the-ground data, to develop and parameterize prediction models. Overall, sow dates were predicted well (R2 = 0.41 in 2014-2015 and R2 = 0.62 in 2015-2016), particularly when using models that were parameterized using self-report sow dates collected close to the time of planting and when using imagery that spanned the entire growing season. We were also able to map yields fairly well (R2 = 0.27 in 2014-2015 and R2 = 0.33 in 2015-2016), with crop cut parameterized models resulting in the highest accuracies. While less accurate, we were able to capture the large range in sow dates and yields across farms when using models parameterized with crop model data and these estimates were able to detect known relationships between management factors (e.g., sow date, fertilizer, and irrigation) and yield. While these results are specific to our study site in India, it is likely that the methods employed and the lessons learned are applicable to smallholder systems more generally across the globe. This is of particular interest given that similar high spatio-temporal resolution micro-satellite data will become increasingly available in the coming years. © 2016 by the authors.","Agriculture; High-resolution satellite imagery; SkySat; Smallholder farms; Terra Bella; Yields","Agriculture; Crops; Cultivation; DNA sequences; Forestry; Parameter estimation; Parameterization; Remote sensing; Satellites; Vegetation; High resolution satellite imagery; Parameterized model; Predictive algorithms; Satellite vegetation; SkySat; Spatio-temporal resolution; Terra Bella; Yields; Satellite imagery",Article,"Final","",Scopus,2-s2.0-85019712461
"Nigam R., Kot R., Sandhu S.S., Bhattacharya B.K., Chandi R.S., Singh M., Singh J., Manjunath K.R.","34968437900;57163443600;57190260233;55341341000;56135480100;57219726024;56402011600;7004539258;","Ground-based hyperspectral remote sensing to discriminate biotic stress in cotton crop",2016,"Proceedings of SPIE - The International Society for Optical Engineering","9880",,"98800H","","",,5,"10.1117/12.2228122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006883436&doi=10.1117%2f12.2228122&partnerID=40&md5=f8a1b3aeb0af7242ba0a4a62b3afacc9","Biological and Planetary Sciences and Applications Group Space Applications Centre (ISRO), Ahmedabad, India; M G Science Institute, Ahmedabad, India; Punjab Agricultural University, Ludhiana, India","Nigam, R., Biological and Planetary Sciences and Applications Group Space Applications Centre (ISRO), Ahmedabad, India; Kot, R., M G Science Institute, Ahmedabad, India; Sandhu, S.S., Punjab Agricultural University, Ludhiana, India; Bhattacharya, B.K., Biological and Planetary Sciences and Applications Group Space Applications Centre (ISRO), Ahmedabad, India; Chandi, R.S., Punjab Agricultural University, Ludhiana, India; Singh, M., Punjab Agricultural University, Ludhiana, India; Singh, J., Punjab Agricultural University, Ludhiana, India; Manjunath, K.R., Biological and Planetary Sciences and Applications Group Space Applications Centre (ISRO), Ahmedabad, India","A large gap exists between the potential yield and the yield realized at the agricultural field. Among the factors contributing towards this yield gap are the biotic stresses that affect the crops growth and development. Severity of infestation of the pests and diseases differs between agroclimatic region, individual crops and seasons within a region. Information about the timing of start of infestation of these diseases and pests with their gradual progress in advance could enable plan necessary pesticide schedule for the season, region on the particular crop against the specific menace expected. This could be enabled by development of region, crop and pest-specific prediction models to forewarn these menaces. In India most (70%) of the land-holding size of farmers average 0.39 ha (some even 20 m x 20 m) and only 1% crop growers hold< 10 ha (mean: 17.3 ha). Patchiness of disease and pest incidence could pose problems in its proper assessment and management. Thus, such exercise could be highly time-consuming and labour-intensive for the seventh largest country with difficult terrain, 66% gross cropped area under food crops, lacking in number of skilled manpower and shrinking resources. Remote sensing overcomes such limitations with ability to access all parts of the country and can often achieve a high spatial, temporal and spectral resolution and thus leading to an accurate estimation of area affected. Due to pest and disease stress plants showed different behavior in terms of physiological and morphological changes lead to symptoms such as wilting, curling of leaf, stunned growth, reduction in leaf area due to severe defoliation or chlorosis or necrosis of photosynthetically active parts (Prabhakar et al., 2011; Booteet al., 1983; Aggarwal et al., 2006). Damage evaluation of diseases has been largely done by visual inspections and quantification but visual quantification of plant pest and diseases with accuracy and precision is a tough task. Utilization of remote sensing techniques are based on the assumption that plant pest and disease stresses interfere with physical structure and function of plant and influence the absorption of light energy and therefore changes the reflectance spectrum of plants. Moreover, remote sensing provides better means to objectively quantify crop stress than visual methods and it can be used repeatedly to collect sample measurements non-destructively and non-invasively (Nutteret et al., 1990; Nilson, 1995). Recent advances in the field of spectroscopy and other remote sensing techniques offer much needed technology of hyperspectral remote sensing (Prabhakar et al., 2011). © 2016 SPIE.",,"Absorption spectroscopy; Agriculture; Aluminum; Chlorophyll; Crops; Light; Accuracy and precision; Agroclimatic regions; Growth and development; Hyperspectral remote sensing; Morphological changes; Reflectance spectrum; Remote sensing techniques; Temporal and spectral resolutions; Remote sensing",Conference Paper,"Final","",Scopus,2-s2.0-85006883436
"Ninija Merina R., Sashikkumar M.C., Rizvana N., Adlin R.","57191985771;55062210500;57191970604;57191985731;","Sedimentation study in a reservoir using remote sensing technique",2016,"Applied Ecology and Environmental Research","14","4",,"296","304",,8,"10.15666/aeer/1404_296304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995543530&doi=10.15666%2faeer%2f1404_296304&partnerID=40&md5=c18ab8d0e97fcb90c43f5af929011b44","University college of Engineering, Nagercoil, Tamilnadu, India; University College of Engineering, Dindigul, Tamilnadu, India; Anna university, Chennai, Tamilnadu, India","Ninija Merina, R., University college of Engineering, Nagercoil, Tamilnadu, India; Sashikkumar, M.C., University College of Engineering, Dindigul, Tamilnadu, India; Rizvana, N., University college of Engineering, Nagercoil, Tamilnadu, India; Adlin, R., Anna university, Chennai, Tamilnadu, India","Reservoir sedimentation is a severe problem faced by dams caused due to soil erosion which is almost immeasurable at source and occurs in the catchment areas of the reservoirs. The present study describes the evaluation of sedimentation carried out for Vaigai reservoir situated in Tamil Nadu, India. Vaigai reservoir nourishes the inhabitants through water storage and supply for irrigation and water power. Nowadays, capacity loss occurs in the reservoir due to sedimentation. As it is highly tedious and uneconomical to do hydrographic surveys, the frequentness in finding the sediment yield becomes impossible. But the recent application of remote sensing and GIS technologies in the field of Civil Engineering make it possible. The Satellite Remote Sensing (SRS) method for prediction of reservoir sedimentation uses directly the water-spread area of the reservoir at a particular elevation on the date of pass of the satellite. With known area and the difference in level of water, the capacity and thereby the loss in capacity of the reservoir due to sedimentation can also be estimated. This paper illustrates the prediction of sedimentation at Vaigai reservoir using remote sensing and ArcGIS. © 2016, ALÖKI Kft., Budapest, Hungary.","Capacity; Remote sensing; Reservoir; Sedimentation; Water spread area",,Article,"Final","",Scopus,2-s2.0-84995543530
"Ganesh Prasad M.S., Swetha H.V.","56435361700;57191053296;","Testing the applicability of a distributed model to estimate soil erosion in a catchment with dense vegetation",2016,"International Journal of Earth Sciences and Engineering","9","3",,"1053","1058",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986188608&partnerID=40&md5=b18248d660f2968efc4378cbc0cabb69","Department of Civil Engineering, The National Institute of Engineering, Mysuru, India","Ganesh Prasad, M.S., Department of Civil Engineering, The National Institute of Engineering, Mysuru, India; Swetha, H.V., Department of Civil Engineering, The National Institute of Engineering, Mysuru, India","Soil erosion is a two phase process consisting of detachment of soil particles and their transport by erosive agents such as wind and water. Soil detachment by rain and river that takes place in hilly areas causes severe landslides and floods resulting in high sedimentation in the reservoir. Hence, a quantitative assessment of soil erosion is needed so that good management approaches can be developed. Four basic factors influence soil erosion by water viz., climate, soil properties, topography and land use practices. The aim of this paper is to test the applicability of a distributed model, Areal Non Point Source Watershed Environmental Response Simulation (ANSWERS), designed for catchments predominant with agriculture land to a catchment with thick vegetation cover and steep slopes. Kumaradhara catchment in Karnataka state with dense forest and elevation was considered for the study. Soil erosivity factors were considered as input for the model in GIS environment. The model was tested for five rainfall events in the year 2011 and four in the year 2012. The estimated sediment yield from the distributed approach has been compared with the observed values. The value of coefficient of determination was also obtained, indicating the prediction from ANSWERS model for the catchment is good. A map depicting the spatial distribution of soil erosion in the catchment has also been prepared which helps in visualizing the regions affected by severe erosion. High erosion was observed near stream bed, although the overall sediment yield estimated is less. This may be due to vegetation cover, particularly forest cover in most part of the catchment. However, more studies are required on the applicability of ANSWERS model in catchments predominately covered with forest. © 2016 CAFET-INNOVA TECHNICAL SOCIETY. All rights reserved.","ANSWERS; GIS modeling; Kumaradhara catchment; Remote sensing; Soil erosion","Catchments; Erosion; Forestry; Geographic information systems; Land use; Rain; Remote sensing; Reservoirs (water); Runoff; Soils; Vegetation; ANSWERS; Coefficient of determination; Distributed approaches; Distributed modeling; Environmental response; GIS modeling; Quantitative assessments; Soil erosion; Soil testing; catchment; erosivity; forest cover; GIS; modeling; rainfall; remote sensing; soil erosion; spatial distribution; India; Karnataka; Kumaradhara Basin",Article,"Final","",Scopus,2-s2.0-84986188608
"Bhattacharjee S., Ghosh S.K.","36095875600;24080140200;","Time-series augmentation of semantic kriging for the prediction of meteorological parameters",2015,"International Geoscience and Remote Sensing Symposium (IGARSS)","2015-November",,"7326843","4562","4565",,9,"10.1109/IGARSS.2015.7326843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962552052&doi=10.1109%2fIGARSS.2015.7326843&partnerID=40&md5=3a27de61f2e4be23688de85b9c4edcf7","School of Information Technology, Indian Institute of Technology, Kharagpur, 721302, India","Bhattacharjee, S., School of Information Technology, Indian Institute of Technology, Kharagpur, 721302, India; Ghosh, S.K., School of Information Technology, Indian Institute of Technology, Kharagpur, 721302, India","Spatio-temporal pattern analysis of meteorological parameters has been studied extensively in the field of remote sensing (RS) and geographic information system (GIS). It is an important data mining strategy for modeling the temporal dynamics of these parameters and forecasting them in future time instances. The meteorological parameters, measured near the earth surface, are eminently influenced by the surrounding land-cover distribution of the terrain. For the time-series prediction of these parameters, the knowledge of spatial land-covers can be contemplated within the space-time trade-off between the sample points. This work presents a new kriging based spatio-temporal interpolation method, namely times-series semantic kriging (SemKts) which deals with land-cover dynamics and incorporates this knowledge for better prediction accuracy. It is a time-series extension of our earlier work on semantic kriging (SemK) for spatial interpolation [1] [2]. Experimentation has been carried out by considering real land surface temperature data in the spatial region Kolkata, India. It has been observed that the semantically enhanced space-time trade-off analysis by SemKts yields more accurate result than most of the popular methods for prediction. © 2015 IEEE.","kriging; land-cover; prediction; semantics; Time-series data",,Conference Paper,"Final","",Scopus,2-s2.0-84962552052
"Patel N.R., Yadav K.","8599674800;56487131000;","Monitoring spatio-temporal pattern of drought stress using integrated drought index over Bundelkhand region, India",2015,"Natural Hazards","77","2",,"663","677",,42,"10.1007/s11069-015-1614-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939983297&doi=10.1007%2fs11069-015-1614-0&partnerID=40&md5=60af04b49b46dc2834da7de8a7b65ea9","Indian Institute of Remote Sensing (IIRS), 4, Kalidas Road, Dehradun, 248 001, India; CSIR- Chemical Oceanography Division, National Institute of Oceanography, Goa, India","Patel, N.R., Indian Institute of Remote Sensing (IIRS), 4, Kalidas Road, Dehradun, 248 001, India; Yadav, K., CSIR- Chemical Oceanography Division, National Institute of Oceanography, Goa, India","Monitoring of drought and associated agricultural production deficit using meteorological indices is essential component for drought preparedness. Remote sensing-based NDVI also plays a key role in drought assessment, but alone it fails due to time lag of 3–4 weeks. In view of improving drought monitoring in Bundelkhand region of India, it was proposed to use combination of meteorological and remote sensing-based approach. The study aims to monitor and assess inter-annual variability in spatial drought and related crop loss in Bundelkhand region using time series of daily rainfall of Climate Prediction Centre (NOAA) and SPOT-VGT-based normalized difference vegetation index. Instead of NDVI, vegetation condition index (VCI) was used to normalize geographical differences in vegetation types and physiographical setting. The new approach is linear weighted index called spatial vegetation drought index (SVDI) constructed from VCI derived from SPOT-VGT and meteorological index named rainfall anomaly index (RAI) for monitoring short-term drought stress in Bundelkhand region. The spatial and temporal pattern of drought matches well with RAI. VCI found to be significantly related to drought stress in terms of rainfall anomaly for majority of decades as well as crop yield anomaly of both food grains and pulses. A modified rainfall anomaly (MRAI) was also constructed by assigning weights to RAI of past three decades to normalize the residual moisture status. The newly formulated SVDI obtained by integrating MRAI and VCI improved the spatial prediction of drought and to detect crop loss associated with short-term drought stress. Comparing real-time drought condition from the observation around the concerned area showed that SVDI was able to illustrate drought stress on large-scale efficiently and can give information about the departure in crop productivity when correlated with crop yield anomaly. © 2015, Springer Science+Business Media Dordrecht.","Crop yield anomaly; Drought; SPOT-VGT; SVDI; VCI",,Article,"Final","",Scopus,2-s2.0-84939983297
"Goyal M., Verma U.","57610945500;57197219682;","Development of weather-spectral models for pre-harvest wheat yield prediction on agro-climatic zone basis in haryana (India)",2015,"International Journal of Agricultural and Statistical Sciences","11","1",,"73","79",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986588494&partnerID=40&md5=dcf96c676412685bf10cf763944142c6","Department of Mathematics and Statistics, C.C.S. Haryana Agricultural University, Hisar, 125 004, India","Goyal, M., Department of Mathematics and Statistics, C.C.S. Haryana Agricultural University, Hisar, 125 004, India; Verma, U., Department of Mathematics and Statistics, C.C.S. Haryana Agricultural University, Hisar, 125 004, India","Agrometeorological (agromet)-trend and agromet-spectral-trend wheat yield models on agro-climatic zone basis in Haryana State have been developed using trend based yield, normalized difference vegetation index (NDVI), fortnightly weather parameters viz., average maximum temperature, average minimum temperature and accumulated rainfall calculated over critical growth phases of wheat crop. Regression analysis and principal component analysis have been used for the development of zonal yield models. The overall results indicate the preference of using prediction equations based on principal component scores during the period(s) of model development and model testing. Zonal yield models provided considerable improvement in districtlevel yield prediction by showing good agreement with real time wheat yields. The results also indicate that the integration of remote sensing (spectral) data with weather variables provides an immense scope to improve the efficiency and reliability of the district-level wheat yield forecasts in the State. The wheat yield forecasts may be obtained about 4-5 weeks ahead of the crop harvest.","Agromet-spectral-trend; Normalized difference vegetation index; PC scores; State department of agriculture yield",,Article,"Final","",Scopus,2-s2.0-84986588494
